time,completed_rides,total_distance,total_cost
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,1,9,22.5
48,1,9,22.5
49,1,9,22.5
50,1,9,22.5
51,1,9,22.5
52,1,9,22.5
53,1,9,22.5
54,1,9,22.5
55,1,9,22.5
56,1,9,22.5
57,1,9,22.5
58,2,11,27.5
58,2,11,27.5
59,3,47,117.5
59,3,47,117.5
60,3,47,117.5
61,3,47,117.5
62,3,47,117.5
63,3,47,117.5
64,3,47,117.5
65,3,47,117.5
66,3,47,117.5
67,3,47,117.5
68,4,80,200.0
68,4,80,200.0
69,5,116,290.0
69,5,116,290.0
70,5,116,290.0
71,6,121,302.5
71,6,121,302.5
72,7,134,335.0
72,7,134,335.0
73,7,134,335.0
74,8,175,437.5
74,8,175,437.5
75,9,182,455.0
75,9,182,455.0
76,9,182,455.0
77,10,206,515.0
77,11,220,550.0
77,11,220,550.0
78,12,263,657.5
78,12,263,657.5
79,12,263,657.5
80,13,322,805.0
80,13,322,805.0
81,14,343,857.5
81,15,362,905.0
81,16,407,1017.5
81,17,460,1150.0
81,17,460,1150.0
82,17,460,1150.0
83,18,482,1205.0
83,18,482,1205.0
84,18,482,1205.0
85,19,488,1220.0
85,20,506,1265.0
85,20,506,1265.0
86,21,530,1325.0
86,21,530,1325.0
87,22,557,1392.5
87,22,557,1392.5
88,23,588,1470.0
88,24,617,1542.5
88,24,617,1542.5
89,25,650,1625.0
89,25,650,1625.0
90,26,670,1675.0
90,27,720,1800.0
90,27,720,1800.0
91,28,761,1902.5
91,28,761,1902.5
92,28,761,1902.5
93,29,800,2000.0
93,29,800,2000.0
94,30,837,2092.5
94,31,864,2160.0
94,31,864,2160.0
95,31,864,2160.0
96,32,907,2267.5
96,33,935,2337.5
96,33,935,2337.5
97,33,935,2337.5
98,34,982,2455.0
98,34,982,2455.0
99,34,982,2455.0
100,35,1032,2580.0
100,36,1067,2667.5
100,36,1067,2667.5
101,36,1067,2667.5
102,36,1067,2667.5
103,36,1067,2667.5
